Seq,Host,Starttime,JobRuntime,Send,Receive,Exitval,Signal,Command,V1,Stdout,Stderr
87,:,1737406694.000,19.000,0,116,0,0,"schlandals --timeout 600 -i /data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/munin/87.cnf compile | tr '\n' ' '",/data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/munin/87.cnf,"Final circuit size: 33093 Estimated probability 0.00445347 (epsilon 0.000000015084214544103247) found in 16 seconds ",
89,:,1737406694.000,19.000,0,116,0,0,"schlandals --timeout 600 -i /data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/munin/89.cnf compile | tr '\n' ' '",/data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/munin/89.cnf,"Final circuit size: 33219 Estimated probability 0.01168167 (epsilon 0.000000005750637965817873) found in 17 seconds ",
83,:,1737406694.000,20.000,0,116,0,0,"schlandals --timeout 600 -i /data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/munin/83.cnf compile | tr '\n' ' '",/data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/munin/83.cnf,"Final circuit size: 32864 Estimated probability 0.00136708 (epsilon 0.000000013565772283286037) found in 17 seconds ",
82,:,1737406694.000,20.000,0,115,0,0,"schlandals --timeout 600 -i /data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/munin/82.cnf compile | tr '\n' ' '",/data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/munin/82.cnf,"Final circuit size: 32634 Estimated probability 0.00119915 (epsilon 0.00000001546551664510787) found in 17 seconds ",
39,:,1737406693.000,21.000,0,116,0,0,"schlandals --timeout 600 -i /data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/munin/39.cnf compile | tr '\n' ' '",/data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/munin/39.cnf,"Final circuit size: 70392 Estimated probability 0.01691157 (epsilon 0.000000047546021786359915) found in 18 seconds ",
34,:,1737406693.000,21.000,0,116,0,0,"schlandals --timeout 600 -i /data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/munin/34.cnf compile | tr '\n' ' '",/data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/munin/34.cnf,"Final circuit size: 70140 Estimated probability 0.01354208 (epsilon 0.000000016599819074869515) found in 18 seconds ",
90,:,1737406694.000,20.000,0,117,0,0,"schlandals --timeout 600 -i /data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/munin/90.cnf compile | tr '\n' ' '",/data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/munin/90.cnf,"Final circuit size: 33071 Estimated probability 0.01907896 (epsilon 0.0000000029313635963035267) found in 17 seconds ",
88,:,1737406694.000,20.000,0,116,0,0,"schlandals --timeout 600 -i /data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/munin/88.cnf compile | tr '\n' ' '",/data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/munin/88.cnf,"Final circuit size: 33026 Estimated probability 0.01034904 (epsilon 0.000000006491137849451434) found in 18 seconds ",
58,:,1737406693.000,22.000,0,116,0,0,"schlandals --timeout 600 -i /data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/munin/58.cnf compile | tr '\n' ' '",/data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/munin/58.cnf,"Final circuit size: 39202 Estimated probability 0.01665419 (epsilon 0.000000050149105534913474) found in 18 seconds ",
97,:,1737406698.000,17.000,0,117,0,0,"schlandals --timeout 600 -i /data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/munin/97.cnf compile | tr '\n' ' '",/data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/munin/97.cnf,"Final circuit size: 32567 Estimated probability 0.00848740 (epsilon 0.0000000008595963940649654) found in 15 seconds ",
95,:,1737406698.000,18.000,0,119,0,0,"schlandals --timeout 600 -i /data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/munin/95.cnf compile | tr '\n' ' '",/data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/munin/95.cnf,"Final circuit size: 32692 Estimated probability 0.13898204 (epsilon 0.000000000052494231184141427) found in 16 seconds ",
94,:,1737406697.000,20.000,0,119,0,0,"schlandals --timeout 600 -i /data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/munin/94.cnf compile | tr '\n' ' '",/data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/munin/94.cnf,"Final circuit size: 32831 Estimated probability 0.26329411 (epsilon 0.000000000027709390337804507) found in 17 seconds ",
93,:,1737406697.000,20.000,0,118,0,0,"schlandals --timeout 600 -i /data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/munin/93.cnf compile | tr '\n' ' '",/data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/munin/93.cnf,"Final circuit size: 33016 Estimated probability 0.27289825 (epsilon 0.00000000020493806651700197) found in 18 seconds ",
52,:,1737406693.000,26.000,0,115,0,0,"schlandals --timeout 600 -i /data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/munin/52.cnf compile | tr '\n' ' '",/data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/munin/52.cnf,"Final circuit size: 39307 Estimated probability 0.00464272 (epsilon 0.00000003954341498690894) found in 20 seconds ",
96,:,1737406698.000,21.000,0,117,0,0,"schlandals --timeout 600 -i /data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/munin/96.cnf compile | tr '\n' ' '",/data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/munin/96.cnf,"Final circuit size: 32743 Estimated probability 0.04283191 (epsilon 0.0000000001703337471070654) found in 18 seconds ",
60,:,1737406694.000,25.000,0,115,0,0,"schlandals --timeout 600 -i /data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/munin/60.cnf compile | tr '\n' ' '",/data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/munin/60.cnf,"Final circuit size: 39171 Estimated probability 0.03597165 (epsilon 0.00000013324981673612513) found in 20 seconds ",
54,:,1737406693.000,27.000,0,116,0,0,"schlandals --timeout 600 -i /data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/munin/54.cnf compile | tr '\n' ' '",/data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/munin/54.cnf,"Final circuit size: 39345 Estimated probability 0.00748879 (epsilon 0.000000042849437109637734) found in 22 seconds ",
62,:,1737406694.000,26.000,0,115,0,0,"schlandals --timeout 600 -i /data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/munin/62.cnf compile | tr '\n' ' '",/data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/munin/62.cnf,"Final circuit size: 39149 Estimated probability 0.27150763 (epsilon 0.00000001765407264819885) found in 21 seconds ",
2,:,1737406693.000,29.000,0,90,0,0,"schlandals --timeout 600 -i /data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/munin/2.cnf compile | tr '\n' ' '",/data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/munin/2.cnf,"Final circuit size: 3748 Estimated probability 0.00008431 (epsilon 0) found in 19 seconds ",
