Seq,Host,Starttime,JobRuntime,Send,Receive,Exitval,Signal,Command,V1,Stdout,Stderr
55,:,1737406392.000,0.000,0,89,0,0,"schlandals --timeout 600 -i /data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/pigs/55.cnf compile | tr '\n' ' '",/data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/pigs/55.cnf,"Final circuit size: 3454 Estimated probability 0.25000000 (epsilon 0) found in 0 seconds ",
73,:,1737406392.000,0.000,0,88,0,0,"schlandals --timeout 600 -i /data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/pigs/73.cnf compile | tr '\n' ' '",/data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/pigs/73.cnf,"Final circuit size: 386 Estimated probability 0.25000000 (epsilon 0) found in 0 seconds ",
74,:,1737406392.000,0.000,0,88,0,0,"schlandals --timeout 600 -i /data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/pigs/74.cnf compile | tr '\n' ' '",/data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/pigs/74.cnf,"Final circuit size: 578 Estimated probability 0.50000000 (epsilon 0) found in 0 seconds ",
57,:,1737406392.000,0.000,0,89,0,0,"schlandals --timeout 600 -i /data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/pigs/57.cnf compile | tr '\n' ' '",/data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/pigs/57.cnf,"Final circuit size: 3404 Estimated probability 0.25000000 (epsilon 0) found in 0 seconds ",
75,:,1737406392.000,0.000,0,88,0,0,"schlandals --timeout 600 -i /data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/pigs/75.cnf compile | tr '\n' ' '",/data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/pigs/75.cnf,"Final circuit size: 386 Estimated probability 0.25000000 (epsilon 0) found in 0 seconds ",
76,:,1737406392.000,0.000,0,88,0,0,"schlandals --timeout 600 -i /data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/pigs/76.cnf compile | tr '\n' ' '",/data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/pigs/76.cnf,"Final circuit size: 386 Estimated probability 0.25000000 (epsilon 0) found in 0 seconds ",
77,:,1737406392.000,0.000,0,88,0,0,"schlandals --timeout 600 -i /data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/pigs/77.cnf compile | tr '\n' ' '",/data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/pigs/77.cnf,"Final circuit size: 578 Estimated probability 0.50000000 (epsilon 0) found in 0 seconds ",
78,:,1737406392.000,0.000,0,88,0,0,"schlandals --timeout 600 -i /data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/pigs/78.cnf compile | tr '\n' ' '",/data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/pigs/78.cnf,"Final circuit size: 386 Estimated probability 0.25000000 (epsilon 0) found in 0 seconds ",
79,:,1737406392.000,0.000,0,87,0,0,"schlandals --timeout 600 -i /data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/pigs/79.cnf compile | tr '\n' ' '",/data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/pigs/79.cnf,"Final circuit size: 22 Estimated probability 0.25000000 (epsilon 0) found in 0 seconds ",
80,:,1737406392.000,0.000,0,87,0,0,"schlandals --timeout 600 -i /data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/pigs/80.cnf compile | tr '\n' ' '",/data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/pigs/80.cnf,"Final circuit size: 34 Estimated probability 0.50000000 (epsilon 0) found in 0 seconds ",
67,:,1737406392.000,0.000,0,89,0,0,"schlandals --timeout 600 -i /data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/pigs/67.cnf compile | tr '\n' ' '",/data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/pigs/67.cnf,"Final circuit size: 3333 Estimated probability 0.25000000 (epsilon 0) found in 0 seconds ",
68,:,1737406392.000,0.000,0,89,0,0,"schlandals --timeout 600 -i /data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/pigs/68.cnf compile | tr '\n' ' '",/data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/pigs/68.cnf,"Final circuit size: 5069 Estimated probability 0.50000000 (epsilon 0) found in 0 seconds ",
81,:,1737406392.000,0.000,0,87,0,0,"schlandals --timeout 600 -i /data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/pigs/81.cnf compile | tr '\n' ' '",/data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/pigs/81.cnf,"Final circuit size: 22 Estimated probability 0.25000000 (epsilon 0) found in 0 seconds ",
82,:,1737406392.000,0.000,0,87,0,0,"schlandals --timeout 600 -i /data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/pigs/82.cnf compile | tr '\n' ' '",/data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/pigs/82.cnf,"Final circuit size: 22 Estimated probability 0.25000000 (epsilon 0) found in 0 seconds ",
83,:,1737406392.000,0.000,0,87,0,0,"schlandals --timeout 600 -i /data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/pigs/83.cnf compile | tr '\n' ' '",/data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/pigs/83.cnf,"Final circuit size: 34 Estimated probability 0.50000000 (epsilon 0) found in 0 seconds ",
69,:,1737406392.000,0.000,0,89,0,0,"schlandals --timeout 600 -i /data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/pigs/69.cnf compile | tr '\n' ' '",/data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/pigs/69.cnf,"Final circuit size: 3342 Estimated probability 0.25000000 (epsilon 0) found in 0 seconds ",
84,:,1737406392.000,0.000,0,87,0,0,"schlandals --timeout 600 -i /data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/pigs/84.cnf compile | tr '\n' ' '",/data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/pigs/84.cnf,"Final circuit size: 22 Estimated probability 0.25000000 (epsilon 0) found in 0 seconds ",
85,:,1737406392.000,0.000,0,88,0,0,"schlandals --timeout 600 -i /data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/pigs/85.cnf compile | tr '\n' ' '",/data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/pigs/85.cnf,"Final circuit size: 111 Estimated probability 0.25000000 (epsilon 0) found in 0 seconds ",
86,:,1737406392.000,0.000,0,88,0,0,"schlandals --timeout 600 -i /data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/pigs/86.cnf compile | tr '\n' ' '",/data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/pigs/86.cnf,"Final circuit size: 162 Estimated probability 0.50000000 (epsilon 0) found in 0 seconds ",
87,:,1737406392.000,0.000,0,88,0,0,"schlandals --timeout 600 -i /data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/pigs/87.cnf compile | tr '\n' ' '",/data/schlandals/pwmc_benchmarks/instances/bayesian_networks/pcnf/pigs/87.cnf,"Final circuit size: 111 Estimated probability 0.25000000 (epsilon 0) found in 0 seconds ",
